datenum,year,month,day,datetime,data_mean_global,data_mean_nh,data_mean_sh
8141,22,4,15,15-Apr-0022 00:00:00,278.8750707,280.4220644,277.328077
8171,22,5,15,15-May-0022 00:00:00,278.8167626,280.3238124,277.3097127
8202,22,6,15,15-Jun-0022 00:00:00,278.082665,278.8080676,277.3572624
8232,22,7,15,15-Jul-0022 00:00:00,276.4417078,275.5256155,277.3578002
8263,22,8,15,15-Aug-0022 00:00:00,274.8379576,272.4639054,277.2120097
8294,22,9,15,15-Sep-0022 00:00:00,274.7970009,272.5605636,277.0334382
8324,22,10,15,15-Oct-0022 00:00:00,275.832479,274.6683588,276.9965992
8355,22,11,15,15-Nov-0022 00:00:00,276.8353294,276.5458997,277.1247592
8385,22,12,15,15-Dec-0022 00:00:00,277.4705631,277.786745,277.1543812
8416,23,1,15,15-Jan-0023 00:00:00,277.9286644,278.6078843,277.2494445
8447,23,2,15,15-Feb-0023 00:00:00,278.3090838,279.261424,277.3567436
8475,23,3,15,15-Mar-0023 00:00:00,278.6481916,279.9011352,277.3952479
8506,23,4,15,15-Apr-0023 00:00:00,278.88582,280.4328137,277.3388263
8536,23,5,15,15-May-0023 00:00:00,278.8270477,280.3340976,277.3199979
8567,23,6,15,15-Jun-0023 00:00:00,278.0922001,278.8176026,277.3667975
8597,23,7,15,15-Jul-0023 00:00:00,276.4502744,275.534182,277.3663668
8628,23,8,15,15-Aug-0023 00:00:00,274.8454047,272.4713525,277.2194569
8659,23,9,15,15-Sep-0023 00:00:00,274.8032453,272.566808,277.0396826
8689,23,10,15,15-Oct-0023 00:00:00,275.8375048,274.6733846,277.001625
8720,23,11,15,15-Nov-0023 00:00:00,276.8391885,276.5497588,277.1286183
8750,23,12,15,15-Dec-0023 00:00:00,277.4733747,277.7895566,277.1571928
8781,24,1,15,15-Jan-0024 00:00:00,277.9306154,278.6098353,277.2513954
8812,24,2,15,15-Feb-0024 00:00:00,278.3104285,279.2627687,277.3580882
8841,24,3,15,15-Mar-0024 00:00:00,278.6492518,279.9021955,277.3963082
8872,24,4,15,15-Apr-0024 00:00:00,278.8869809,280.4339745,277.3399872
8902,24,5,15,15-May-0024 00:00:00,278.8286836,280.3357334,277.3216338
8933,24,6,15,15-Jun-0024 00:00:00,278.0946134,278.820016,277.3692109
8963,24,7,15,15-Jul-0024 00:00:00,276.4536938,275.5376014,277.3697862
8994,24,8,15,15-Aug-0024 00:00:00,274.8499849,272.4759327,277.2240371
9025,24,9,15,15-Sep-0024 00:00:00,274.809067,272.5726297,277.0455042
9055,24,10,15,15-Oct-0024 00:00:00,275.8445748,274.6804546,277.008695
9086,24,11,15,15-Nov-0024 00:00:00,276.8474397,276.55801,277.1368695
9116,24,12,15,15-Dec-0024 00:00:00,277.4826662,277.7988481,277.1664844
9147,25,1,15,15-Jan-0025 00:00:00,277.9407323,278.6199522,277.2615123
9178,25,2,15,15-Feb-0025 00:00:00,278.321082,279.2734222,277.3687417
9206,25,3,15,15-Mar-0025 00:00:00,278.6600793,279.9130229,277.4071356
9237,25,4,15,15-Apr-0025 00:00:00,278.8975485,280.4445422,277.3505548
9267,25,5,15,15-May-0025 00:00:00,278.8385613,280.3456111,277.3315114
9298,25,6,15,15-Jun-0025 00:00:00,278.1034554,278.828858,277.3780528
9328,25,7,15,15-Jul-0025 00:00:00,276.4612431,275.5451507,277.3773355
9359,25,8,15,15-Aug-0025 00:00:00,274.856073,272.4820208,277.2301252
9390,25,9,15,15-Sep-0025 00:00:00,274.8136143,272.5771771,277.0500516
9420,25,10,15,15-Oct-0025 00:00:00,275.8475903,274.6834701,277.0117105
9451,25,11,15,15-Nov-0025 00:00:00,276.849021,276.5595913,277.1384508
9481,25,12,15,15-Dec-0025 00:00:00,277.4829996,277.7991815,277.1668177
9512,26,1,15,15-Jan-0026 00:00:00,277.9400926,278.6193125,277.2608726
9543,26,2,15,15-Feb-0026 00:00:00,278.3198329,279.2721731,277.3674926
9571,26,3,15,15-Mar-0026 00:00:00,278.658673,279.9116166,277.4057293
9602,26,4,15,15-Apr-0026 00:00:00,278.8965243,280.443518,277.3495306
9632,26,5,15,15-May-0026 00:00:00,278.8384721,280.3455219,277.3314223
9663,26,6,15,15-Jun-0026 00:00:00,278.1047656,278.8301682,277.379363
9693,26,7,15,15-Jul-0026 00:00:00,276.4643205,275.5482281,277.3804129
9724,26,8,15,15-Aug-0026 00:00:00,274.8611892,272.487137,277.2352413
9755,26,9,15,15-Sep-0026 00:00:00,274.8209441,272.5845069,277.0573814
9785,26,10,15,15-Oct-0026 00:00:00,275.8572124,274.6930922,277.0213326
9816,26,11,15,15-Nov-0026 00:00:00,276.8609174,276.5714877,277.1503472
9846,26,12,15,15-Dec-0026 00:00:00,277.497056,277.8132379,277.1808741
9877,27,1,15,15-Jan-0027 00:00:00,277.9560982,278.6353182,277.2768783
9908,27,2,15,15-Feb-0027 00:00:00,278.3374806,279.2898208,277.3851404
9936,27,3,15,15-Mar-0027 00:00:00,278.6775591,279.9305028,277.4246154
9967,27,4,15,15-Apr-0027 00:00:00,278.9161494,280.4631431,277.3691557
9997,27,5,15,15-May-0027 00:00:00,278.858296,280.3653458,277.3512461
10028,27,6,15,15-Jun-0027 00:00:00,278.1243041,278.8497067,277.3989015
10058,27,7,15,15-Jul-0027 00:00:00,276.4831558,275.5670634,277.3992482
10089,27,8,15,15-Aug-0027 00:00:00,274.8789695,272.5049173,277.2530217
10120,27,9,15,15-Sep-0027 00:00:00,274.8373842,272.6009469,277.0738214
